date,year,month,day,day_of_week,week_of_year,season,workout_type,minutes,minutes_raw,miles,pace_min_per_mile,comments,extras,is_race,race_name,race_distance,race_time,source_file
2004-04-22,2004,4,22,Thursday,17,spring,run,55.05,55:03,7.0,7.8643,,"sp, ice bath",0,,,,spring04log.html
2004-04-23,2004,4,23,Friday,17,spring,pre-meet,16.65,16:39,2.0,8.325,"8' run, drills, hurdle drills, another 8, 5x70m strides So excited for tomorrow, it's gotta be good",ice bath,0,,,,spring04log.html
2004-04-24,2004,4,24,Saturday,17,spring,,,,7.0,,"Well there was no wimping out today, which has been a trend through some of my races. It was crazy windy down the whole back 200 all day; times were slow across the board. Even though I didn't get the ECAC mark today, I'm pretty sure that my race was worth around 11:55 in good conditions, so hopefully next week I'll just lay it out. I'm still looking down at the barriers too much, but I think my hurdling is getting better. Ran a solid race for 5th place, matching my seed, which was fine since there really wasn't anyone within 20 seconds of me either way. The 1500 was 50 minutes later, which was a bit harsh. I was seeded 8th in the fast heat, but Julia had a NT and was in the slow heat, so I was trying to bust out 6th or 7th. With the wind I really was only running for place, plus it was a team scoring meet, so I tried to tuck in with the pack and just maintain. Worked out for the first lap, came through in 80, but then I really started feeling it. Everything hurt, two or three girls went around me, and I tried my best to hang with them. I knew I wasn't in last, by 2 laps to go I wasn't sure what I had left. I'm really happy though, because at that point I usually just start ""coasting,"" and sort of resign myself to whatever is going to happen. But this time I actually kept my heart in it and still tried for places. On the final 300 there was a Smith girl and a Coast Guard girl about 75m up; HBH was yelling ""they're coming back to you,"" and when I looked up, it definitely looked like the Smith girl was. The USCGA girl started pulling away and I just sort of mentally started following her; by 100 to go I was just barely within kicking reach of the Smith girl. At probably the last possible second, I found one more gear. Smith was teetering out into lane 2 and I figured that one a straightaway it wasn't rude to pass on the inside, so I just stared at the finish line and shot up lane 1. 5:22.38 to 5:22.71, good for 7th in the heat. Unfortunately, Julia's heat actually had a second person who should have been seeded higher, and I wound up 9th, just one place out of scoring. But I can't control that.",37:27 wu/cd,1,"NEWMAC Championships, Springfield",3k steeple,12:02.03,spring04log.html
2004-04-24,2004,4,24,Saturday,17,spring,,,,7.0,,"Well there was no wimping out today, which has been a trend through some of my races. It was crazy windy down the whole back 200 all day; times were slow across the board. Even though I didn't get the ECAC mark today, I'm pretty sure that my race was worth around 11:55 in good conditions, so hopefully next week I'll just lay it out. I'm still looking down at the barriers too much, but I think my hurdling is getting better. Ran a solid race for 5th place, matching my seed, which was fine since there really wasn't anyone within 20 seconds of me either way. The 1500 was 50 minutes later, which was a bit harsh. I was seeded 8th in the fast heat, but Julia had a NT and was in the slow heat, so I was trying to bust out 6th or 7th. With the wind I really was only running for place, plus it was a team scoring meet, so I tried to tuck in with the pack and just maintain. Worked out for the first lap, came through in 80, but then I really started feeling it. Everything hurt, two or three girls went around me, and I tried my best to hang with them. I knew I wasn't in last, by 2 laps to go I wasn't sure what I had left. I'm really happy though, because at that point I usually just start ""coasting,"" and sort of resign myself to whatever is going to happen. But this time I actually kept my heart in it and still tried for places. On the final 300 there was a Smith girl and a Coast Guard girl about 75m up; HBH was yelling ""they're coming back to you,"" and when I looked up, it definitely looked like the Smith girl was. The USCGA girl started pulling away and I just sort of mentally started following her; by 100 to go I was just barely within kicking reach of the Smith girl. At probably the last possible second, I found one more gear. Smith was teetering out into lane 2 and I figured that one a straightaway it wasn't rude to pass on the inside, so I just stared at the finish line and shot up lane 1. 5:22.38 to 5:22.71, good for 7th in the heat. Unfortunately, Julia's heat actually had a second person who should have been seeded higher, and I wound up 9th, just one place out of scoring. But I can't control that.",37:27 wu/cd,1,"NEWMAC Championships, Springfield",1500m,5:22.38,spring04log.html
2004-04-25,2004,4,25,Sunday,17,spring,aquajog,,(55),,,oops... got the email saying 30' a little too late... no harm done,hurdle drills,0,,,,spring04log.html
2004-04-26,2004,4,26,Monday,18,spring,fartlek,57.55,57:33,7.0,8.2214,"15' of fartlek in the middle, it really felt good just to open up and run hard. fartlek and tempo are my favorites. unfortunately, had to do the run by myself (again)... I don't know what's with the attrition rate on this team. it was kind of sad and lonely at first, setting out, but then there was a light rain and after a little while I just sort of fell into a groove and had a really peaceful run. stoked for this weekend, Biz thinks my time Saturday was worth maybe 11:40 on a good day. That's possibly stretching it a little, but most people were 5-15 sec off their seeds, so... I'm not ruling anything out",lifting (again less reps),0,,,,spring04log.html
2004-04-27,2004,4,27,Tuesday,18,spring,run,47.53,47:32,6.5,7.3123,"went with julia, pace was a bit fast",hurdle drills,0,,,,spring04log.html
2004-04-28,2004,4,28,Wednesday,18,spring,intervals,26.15,26:09 wu/cd,5.0,5.23,"I was hurting before, during and after the workout. I hate to complain, but it was seriously just no good. Had a headache all day, still have one, my legs were tight and I couldn't jump over the hurdles, and I probably ran too hard yesterday. In any case, I slogged through 3x600 over hurdles (200 walk), then a 300 over hurdles, then 3x300. Hit all the times regardless, except the 300 w/hurdles where I just tripped out and went around the first one. Was quite uncomfortable, but the times were: 2:14, 2:11, 2:14; 63, 59, 58, 57","skipped lifting, ice bath, hurdle drills beforehand",0,,,,spring04log.html
2004-04-29,2004,4,29,Thursday,18,spring,,,,,,"developed a 101 fever during the day. My rule is not to run with a fever ever, so... geez what great timing for getting sick the first time all year",,0,,,,spring04log.html
2004-04-30,2004,4,30,Friday,18,spring,pre-meet,18.88,18:53,2.0,9.44,"fever was gone when i woke up, pulse was almost down to normal (51). took it easy; I had already emailed my TA about not going to class and he said I didn't need to go, so I just did a little shakeout then instead, just to make sure I had my strength and all. felt pretty good, did 12', then drills/hurdle drills, then another few minutes. Felt relatively smooth going over the hurdles... I'm ready.",drills/hurdle drills,0,,,,spring04log.html
2004-05-01,2004,5,1,Saturday,18,spring,,,,3.5,,"Damn, that was frustrating. My fever came back last night, and even though it was gone completely by the time I went to bed, and never came back today, I was still left with nothing. My muscles were quivering a little in the morning, but I didn't want to psyche myself out (I was already losing confidence) so I just played it off. I figured it was my last race if I didn't run, and possibly not my last race if I did, so why not? Well... it ended up being my last race. I don't know, there's not much use discussing the race itself because it was not meant to be a legitimate shot. I went out fine, even a few seconds under the plan for the mile (88/2:57/6:10 or thereabouts). Right after the mile though, right after I came through the finish and saw the 3 laps to go sign, I just turned to jello. I wanted to drop the race then and there, but I figured I'd just go around to the 200 and ask HBH if I could. Of course I didn't ask, so I just kept running, but every time I came up to a barrier I literally thought I was going to cry. I ended up nicking my knee on one of the barriers actually, that's how lazy I got, and apparently I was swerving on the straights, which I don't remember at all... yeah basically I just slogged it in with little energy or heart. I finished the race and really did break down and start crying; I think that's the first time in my life that's ever happened. Really sucks that I never got a really good shot at this event. 11:55 was totally within reach, and it sucks that all this work and all the fitness that I gained is going to shit, and that I have no more chances until next year. Definitely NOT ready for this season to be over after 5 races.","12:24 wu, walked the cd",1,"New England Division III's, Springfield",3k steeple,12:28.63,spring04log.html
2004-05-03,2004,5,3,Monday,19,spring,run,66.17,66:10,8.0,8.2713,"not really sure why I'm running, I guess just because I like to. keeping julia and nancy company, i suppose. gonna start my summer work officially when I get home. should probably get new shoes soon",,0,,,,spring04log.html
2004-05-04,2004,5,4,Tuesday,19,spring,aquajog,,(40),,,"yeah, just going...",,0,,,,spring04log.html
2004-05-06,2004,5,6,Thursday,19,spring,aquajog,,(45),,,,,0,,,,spring04log.html
2004-05-08,2004,5,8,Saturday,19,spring,run,68.85,68:51,8.0,8.6062,"one last run before I take my two weeks. ha, meant to go out for 35 minutes or so, but then I started exploring... ran over to Bunker Hill, then to the USS Constitution, then I decided to hop on the Freedom Trail for a bit and wound up in the North End. Ran around the edge for a bit, got mildly lost and then found myself right up by Quincy Market. Straight back from there through Boston Commons. Nice day out, exciting run, minus the smelliness in the city.",,0,,,,spring04log.html
2004-05-18,2004,5,18,Tuesday,21,spring,bike,,hour,,,"ha, i thought I could handle two weeks of total inactivity... oh well :-D",,0,,,,spring04log.html
2004-05-23,2004,5,23,Sunday,21,summer,run,35.12,35:07,4.0,8.78,,,0,,,,summer04log.html
2004-05-24,2004,5,24,Monday,22,summer,nordic track,,(35),,,"Don't know why I nordic tracked, I guess because Price is Right was on","leg ext, curls, triceps, etc on the bench at home",0,,,,summer04log.html
2004-05-25,2004,5,25,Tuesday,22,summer,run,36.97,36:58,4.5,8.2156,,"2 sets sp, hip adductors",0,,,,summer04log.html
2004-05-26,2004,5,26,Wednesday,22,summer,run,37.12,37:07,4.5,8.2489,,,0,,,,summer04log.html
2004-05-27,2004,5,27,Thursday,22,summer,,,,,,,lifting at home,0,,,,summer04log.html
2004-05-28,2004,5,28,Friday,22,summer,run,41.92,41:55,5.0,8.384,,,0,,,,summer04log.html
2004-05-29,2004,5,29,Saturday,22,summer,run,25.02,25:01,3.0,8.34,,"sp, Patch, dspb",0,,,,summer04log.html
2004-05-30,2004,5,30,Sunday,22,summer,run,37.48,37:29,4.5,8.3289,,,0,,,,summer04log.html
2004-06-01,2004,6,1,Tuesday,23,summer,"""long"" run",52.53,52:32,6.2,8.4726,,"spb, leg ext/curl, lunges, calf raises",0,,,,summer04log.html
2004-06-02,2004,6,2,Wednesday,23,summer,run,41.38,41:23,5.0,8.276,,upper body lifting at home,0,,,,summer04log.html
2004-06-03,2004,6,3,Thursday,23,summer,run,46.58,46:35,5.6,8.3179,"TP state beach, south to guy fleming (2xs) then back north","spb, strides, Patch, dspb",0,,,,summer04log.html
2004-06-04,2004,6,4,Friday,23,summer,run,29.73,29:44,3.25,9.1477,was going to take the day off but I wanted to run with laura,"spb, lifts on the bench",0,,,,summer04log.html
2004-06-05,2004,6,5,Saturday,23,summer,run,17.08,17:05,2.0,8.54,"didn't want to take today off because of my ""race"" tommorrow... I'll take off monday",,0,,,,summer04log.html
2004-06-06,2004,6,6,Sunday,23,summer,,,,7.0,,"Hoooooooly sh*t! I don't know if there's any way to describe this race! It was so insanely hardcore, and SO MUCH FUN! Seriously, it was like, steeplchase times a hundred. In fact, there was a bit of steeplechasing involved, but it was more like steeple the way the horses do it... So this thing is basically a 10k obstacle course on the Camp Pendleton Marine Base, just north of here. There are like half a dozen mud pits, water crossings, two 5ft walls (covered in mud) to climb over, a tunnel to crawl through, basically craziness all over the place. I've been trying to do this thing for years, and finally this year, Amy, Tina, Julie and Brigitte were all doing it so I signed up too. And it was so awesome! Ok, let me try to describe the course: The whole thing is one big dirt loop, and all of the obstacles are added by the race organizers sort of ""on top"". So we start off, and about 400m in, they started spraying fire hoses at us. I don't really know why, that didn't add to the race much, but whatever. Then we get to the dirt trail, and we start in, and within a minute there is a pit of loose sand that we had to crawl through on our hands and knees. Also a bit unnecessary, in my opinion, but everything got better from there. After that, there was a little one of those tire obstacle things, and then the first mud pit. It was about knee deep, so you could pick up your legs and still sort of run through it. Then there was just more running for a while; there was about a 3 mile long hill in the middle of the course, but only part of it was particularly steep. At the top of the hill there was a set of hay bales, and then just a lot more running as we wound down the hill. A couple more mud pits were thrown in there somewhere along flat stretches too. About four miles in things started to get crazy. There weren't any mile markers so I didn't know that I was that far, but whatever. So after the hill I come up to the first wall. It's basically just that: a wooden wall across the course, five feet tall, with a pool of mud leading up to and away from it. My first attempt at vaulting myself over proved unsuccessful when my feet got sucked into the mud, but I managed to not sink in and get myself over on the second try. After the wall, I ran a little ways on a trail, then as I turned a corner I started to hear, ""It's three feet deep, no diving!"" And when I can finally see, I realize that we have to cross what is essentially a small corner of a lake. No joke. It must have been like 40 yards of waist deep water that I had to wade through. I acutally tried swimming it for a little bit, when my quads got insanely tired (as if the previous mud and hills had left them fresh). On the other side, we had to come out this pretty steep, muddy bank. Right about there was when I first started to feel how incredibly dead my legs were. Like, I said, there were no mile markers, but I heard someone mention that we had about 2 miles left. I knew there were at least two more obstacles, and I figured I could just stick it out (I had been running hard, but obviously not racing, the whole time). There was another small hill at this point, which was sort of disheartning, because I didn't remember it from the course map. Then a second climbing wall... again a surprise to me. But after that, Marines were telling us that there was only one mud pit left, and about 1.5 miles, so I kept grinding. There were the tunnels to crawl through, in which I managed to pass this one woman that had been in front of me for a while--I had a vague goal to win my age group, but she looked older anyway so passing her was just sort of unintentional. The tunnels were on top of a hill, and going down there started to be more Marines cheering and saying it was all downhill. Well it wasn't. One last surprise feature was a short, steep hill that also seemed to escape the map. Of course, a hill by itself is so civilian, so to spice life up a bit, they put a couple of hoses at the top and made the whole thing a big, muddy river that we had to scramble up. That actually was the last hill, and coming down it there started to be a couple of spectators scattered about, so I figured I must be near the finish. I picked it up a bit at that thought, and a little more when some people started yelling to me that I was the third woman. I finally reached the last mudpit, about 30 ft long, with flags over the top so that you had to crawl through it on your hands and knees. And that was it. From there it was like a 50 ft dash (or stumble) to the finish. I came across the line exhausted, in 56th place overall, 3rd woman and 1st in the 15-19 women's group. It was only when I stopped that I realized that my knees were bleeding, and when I finally got my shoes off (I needed a Marine to cut off the duck tape), I realized that my feet were bleeding too. First time my feet have ever bled in a race. There were also 7-10 minutes of delerium in there, that I don't exactly remember, but by the time I was coherent again, all of my friends had finished and their parents were swarming over to take pictures. What a great day... Results (Ctrl-F to find me) Course Map Article from Runner's World",warm-up jog,1,Camp Pendleton Mud Run,10k,55:38,summer04log.html
2004-06-07,2004,6,7,Monday,24,summer,aquajog,,(45),,,,"lifting at home, 2 sets spb",0,,,,summer04log.html
2004-06-08,2004,6,8,Tuesday,24,summer,long run,62.92,62:55,7.5,8.3893,form/pace were hampered by the blisters that formed and opened during Sunday's fiasco,"strides, shins",0,,,,summer04log.html
2004-06-09,2004,6,9,Wednesday,24,summer,run,40.25,40:15,5.0,8.05,,spb,0,,,,summer04log.html
2004-06-10,2004,6,10,Thursday,24,summer,run,52.52,52:31,6.5,8.08,"ran in San Onofre around 1pm after visiting Beth; was a little hot and I managed fill up a blister that I got on the mud run, it's pretty painful. went out 27' and decided to come back faster just for kicks","spb, leg ext/curl, calves, 1 set lunges",0,,,,summer04log.html
2004-06-12,2004,6,12,Saturday,24,summer,run,47.68,47:41,5.4,8.8296,"up Broken Hills--12:35 up the trail itself, felt good","spb, dspb",0,,,,summer04log.html
2004-06-13,2004,6,13,Sunday,24,summer,run,48.93,48:56,5.75,8.5096,Took a few wrong turns finding my way through the newly dubbed Green Monkey Loop + did a mile on the bike path at the beginning,spb,0,,,,summer04log.html
2004-06-14,2004,6,14,Monday,25,summer,long run,73.67,73:40,9.0,8.1856,"meant to go 8.5, but I messed up how far out I had to go (ran north from the state beach). Can't believe I actually went 9, that's a pretty solid clip for how I felt, but that's what the map says. Did the last 3 mi at just around or under 8 min pace, used the markers from the LJ Half to get that",lifting at home,0,,,,summer04log.html
2004-06-16,2004,6,16,Wednesday,25,summer,swim,,(45),,,taking a few days off because my foot is hurting... back in Boston,"lifting (z-center), 2 sets spb",0,,,,summer04log.html
2004-06-17,2004,6,17,Thursday,25,summer,swim/aqua jog,,(45),,,swam for the first 25'; being in the 50 meter pool is way cooler! ha...,,0,,,,summer04log.html
2004-06-18,2004,6,18,Friday,25,summer,run,49.82,49:49,6.0,8.3033,foot felt a lot better... my calf is a little sore though but otherwise a great AM run around the Fenway area,"spb, lifting",0,,,,summer04log.html
2004-06-19,2004,6,19,Saturday,25,summer,run,45.32,45:19,5.2,8.7154,"harvard-footbridge loop, a bit slow","Biked to Walden Pond today! Got lost a few times, but now I know the way. That was a good 4.5 hrs of riding",0,,,,summer04log.html
2004-06-20,2004,6,20,Sunday,25,summer,run,51.37,51:22,6.1,8.4213,felt really sluggish,spb,0,,,,summer04log.html
2004-06-21,2004,6,21,Monday,26,summer,long run,86.18,1:26:11,10.0,8.618,third day in a row feeling poopy,"lift (mostly upper body, to give the legs a break), strides",0,,,,summer04log.html
2004-06-22,2004,6,22,Tuesday,26,summer,run,43.78,43:47,5.2,8.4192,footbridge loop w/katie huffman,,0,,,,summer04log.html
2004-06-23,2004,6,23,Wednesday,26,summer,run,56.75,56:45,6.5,8.7308,over to boston commons to find some hills (not repeats or anything),"sp, lifting, strides",0,,,,summer04log.html
2004-06-25,2004,6,25,Friday,26,summer,run,63.55,63:33,7.5,8.4733,explored around the harbor/north end area. finally feeling fresh again,"sp, lifting, strides, dspb",0,,,,summer04log.html
2004-06-26,2004,6,26,Saturday,26,summer,run,43.08,43:05,5.0,8.616,"with bryan out to JFK st and back, then a little more at the end to round out the miles","a few drills, strides",0,,,,summer04log.html
2004-06-27,2004,6,27,Sunday,26,summer,run,52.62,52:37,6.0,8.77,"took the WTPers out for a run, ended up going around harvard-BU twice, plus some",spb,0,,,,summer04log.html
2004-06-28,2004,6,28,Monday,27,summer,run,69.32,69:19,8.0,8.665,showed the WTP crew the longfellow loop (27') and then went out for another 5+,lifting,0,,,,summer04log.html
2004-06-29,2004,6,29,Tuesday,27,summer,run,42.1,42:06,5.0,8.42,,spb,0,,,,summer04log.html
2004-06-30,2004,6,30,Wednesday,27,summer,long run,86.15,1:26:09,10.2,8.4461,that was the longest feeling long run in a long time. poo. taking tomorrow off.,ice,0,,,,summer04log.html
2004-07-02,2004,7,2,Friday,27,summer,run,42.95,42:57,5.0,8.59,,spb,0,,,,summer04log.html
2004-07-03,2004,7,3,Saturday,27,summer,run,49.92,49:55,5.5,9.0764,,,0,,,,summer04log.html
2004-07-04,2004,7,4,Sunday,27,summer,run,59.95,59:57,7.0,8.5643,"ran over to the 4th of july celebration, watched for a bit while I did lunges and calf raises, ran back","spb, lunges, calf raises",0,,,,summer04log.html
2004-07-05,2004,7,5,Monday,28,summer,run,54.75,54:45,6.5,8.4231,,"2 sets situps, a really quick little bit of lifting in McCormick; z-center is closed >:-(",0,,,,summer04log.html
2004-07-06,2004,7,6,Tuesday,28,summer,long run,92.02,1:32:01,11.0,8.3655,visiting julie on cape cod... slept in and woke up just in time for lots of sun :-( Ran to woods hole and back,sp,0,,,,summer04log.html
2004-07-07,2004,7,7,Wednesday,28,summer,run,39.2,39:12,5.0,7.84,ran w/julie and her teammate around the harbor in falmouth,lifting late at night,0,,,,summer04log.html
2004-07-09,2004,7,9,Friday,28,summer,tempo,71.97,71:58,8.5,8.4671,"out to jamiaca pond incl. 2x10' tempo and one 5' tempo, plus some at the end","lifting, spb",0,,,,summer04log.html
2004-07-10,2004,7,10,Saturday,28,summer,run,57.7,57:42,7.1,8.1268,"sci museum-river st. legs didn't have too much bounce today, but I ran hard and long yesterday so I'm not concerned. Stoked about hitting my first relatively high mileage week!",,0,,,,summer04log.html
2004-07-12,2004,7,12,Monday,29,summer,hill repeats,43.88,43:53+hills,7.0,6.2686,"ran at night (8:30pm) w/jen over to boston commons. 8 hills up the grass. felt pretty darned good, which i was surprised about since I biked in the morning and have been feeling a little beat lately. pace going and coming was a little faster than I've been running, but it was good. really stoked about tonight, maybe it was the two hour nap, or the coolness, or not being stiff, or the gookinaid...","30 mi bike ride (~2hrs) w/Aunt Ilene from Newton to Lincoln, spb",0,,,,summer04log.html
2004-07-13,2004,7,13,Tuesday,29,summer,run,49.93,49:56,6.0,8.3217,"stayed up late last night to watch women's 5k oly trials, and woke up early, but i still had some zip in me",,0,,,,summer04log.html
2004-07-14,2004,7,14,Wednesday,29,summer,long run,102.55,1:42:33,12.4,8.2702,"that was awesome. glad I'm finally feeling fresh this week. did a mile and a quarter warmup around campus and stretched for a quick bit before hitting the harvard-n.beacon loop (91:26 for that 11.15 mi). ran at 6:45 am and the weather was cool and misty... quite perfect, although I would have appreciated my feet staying drier. picked it up a bit on my way back between alternating bridges, to keep the pace honest",,0,,,,summer04log.html
2004-07-15,2004,7,15,Thursday,29,summer,run,53.95,53:57,6.5,8.3,,,0,,,,summer04log.html
2004-07-16,2004,7,16,Friday,29,summer,tempo,58.93,58:56,7.5,7.8573,"20' tempo in the middle, with some pickups at the end just so I wasn't continually slowing down. Didn't have the zip I've had the past few days, but the pace was all right.",spb-- I PROMISE I'll lift tomorrow. need to get back on track with that. have my massage today :),0,,,,summer04log.html
2004-07-17,2004,7,17,Saturday,29,summer,run,48.68,48:41,6.0,8.1133,whoa it was hot... not a good call on sleeping in,"2 sets sp, lifting, strides",0,,,,summer04log.html
2004-07-18,2004,7,18,Sunday,29,summer,long run,101.52,1:41:31,12.5,8.1216,"yeehaw! man that was awesome! the joints and muscles were a little creaky starting off, but I fell into a good rhythm as I warmed up. Still didn't beat the heat but it didn't seem to matter. Out to the Arboretum and around there for a bit, which allowed me to stay in the shade. The quads and knees were pretty hammered by the end, but I sat down and iced while I ate breakfast.",ice,0,,,,summer04log.html
2004-07-19,2004,7,19,Monday,30,summer,aquajog,,(30),,,,,0,,,,summer04log.html
2004-07-20,2004,7,20,Tuesday,30,summer,tempo,44.7,44:42,6.0,7.45,"out 24, back 20:40. the out was actually a pretty decent pace, probably managed to go 8 min miles",lifting,0,,,,summer04log.html
2004-07-20,2004,7,20,Tuesday,30,summer,run,33.13,33:08,3.75,8.8347,,,0,,,,summer04log.html
2004-07-21,2004,7,21,Wednesday,30,summer,run,52.37,52:22,6.25,8.3792,eh,spb,0,,,,summer04log.html
2004-07-22,2004,7,22,Thursday,30,summer,run,75.4,75:24,9.0,8.3778,"what an interesting run. Decided to run to Charlestown and follow the Freedom trial to Boston Common. When I got to Bunker Hill, the museum was open and then I saw a sign saying that you could take stairs to the top of the monument. So I did...all 265 of them. Heh... not a bad view but it was pretty gross-feeling to be at the top of a brick building that's about 20 feet square inside. After that I took the Trail to it's other end and then back on the Esplanade, taking another running break to play in Frog Pond at the Commons. It was 10 o'clock before I headed out this morning so it was damned hot while I was running, so by the end I was dogging it a bit. I decided that to make up for it, I'd go to the track and lay down a hard 400. Plus it's just that point in the summer where I get curious, so after some stretching and a minute of rest, I went out and droped a 79. Not bad","none, i was pretty beat (and lazy). I've been stretching more thoguh the past few days and my foot's been hurting less, hey...",0,,,,summer04log.html
2004-07-23,2004,7,23,Friday,30,summer,hills,41.12,41:07 wu/cd,7.0,5.8743,"ran out to Summit hill to see what it was all about. found out that it was a fatty hill, too steep for any worthwhile repeats. Ran up the sidestreet next to it 9xs, moderate, hard, hardest and then did Summit once. HAPPY BIRTHDAY, DAD","spb, free weights",0,,,,summer04log.html
2004-07-24,2004,7,24,Saturday,30,summer,run,45.88,45:53,5.6,8.1929,"WOOHOO! holy crap! Finally got our first real downpour... took off around 8:30 am on 3 hours of sleep (last night was the WTP girls' last night here) and just went nuts. Was talking to myself, got soaked, found every puddle, got soaked... On another note I think I'm going to try to start doing my normal runs a bit faster if I can. I hit 50 miles this week (yEah) and didn't feel too sluggish, so the goal is to have everything at 8 min pace by the end of the summer.",,0,,,,summer04log.html
2004-07-25,2004,7,25,Sunday,30,summer,run,66.15,66:09,8.0,8.2688,"whoa, yeah, one thing that isn't a good idea: waking up at 11, deciding to eat ice cream for breakfast, and then going for an 8 mile run. The churning in my stomach went away after 3 miles or so, and the rest of the run ended up being ok. solid pace, I think it was more than 8 miles",,0,,,,summer04log.html
2004-07-26,2004,7,26,Monday,31,summer,tempo,45.68,45:41,6.0,7.6133,"4x5' tempo, around 7' pace for the tempo parts :( I dunno... i was tired... still gotta catch up on the rest",2 sets sp,0,,,,summer04log.html
2004-07-26,2004,7,26,Monday,31,summer,run,33.5,33:30,4.0,8.375,,,0,,,,summer04log.html
2004-07-27,2004,7,27,Tuesday,31,summer,run,,lots,8.0,,slooow,spb,0,,,,summer04log.html
2004-07-28,2004,7,28,Wednesday,31,summer,pool,40.0,40,,,"20 min swim, 20 min aquajog",lifting,0,,,,summer04log.html
2004-07-29,2004,7,29,Thursday,31,summer,long run,110.97,1:50:58,13.0,8.5362,"biked to Jamaica Pond w/Jen, then we ran to Franklin Park. Did the course, jogged around a bit, wandered around the Arboretum, and back. Sort of a surreal feeling run. On the one hand, it didn't feel like I was doing a long run, even while I was doing it. Like, at the end, I didn't feel like I had just run almost two hours. We didn't stop that much; once to stretch and once for water, and the pace around the course was actually down near 8/8:15, so I don't know why it felt like such a junky run. Can't decide if it was a good run or not. Also feeling a little bit like that in the general sense; even though I am into ""high mileage"" I don't feel all cut and in shape like I did two weeks ago. I guess I've had more dessert than normal this week, and not sleeping too regularly since the girls are gone. Hopefully when I go home I can focus and feel fit again.",,0,,,,summer04log.html
2004-07-30,2004,7,30,Friday,31,summer,hill repeats,55.07,55:04 wu/cd,9.0,6.1189,"BU bridge loop then over to the commons. Lots of police and media around... apparently someone named ""Kerry"" lives across the street, ha. 4 moderate, 3 hard, 3 harder, walked down the hill after the first two sets. felt pretty strong. normally would have doubled but I have to pack and stuff today",sp,0,,,,summer04log.html
2004-07-31,2004,7,31,Saturday,31,summer,run,55.28,55:17 wu/cd,7.0,7.8971,,,0,,,,summer04log.html
2004-08-01,2004,8,1,Sunday,31,summer,run,54.98,54:59 wu/cd,7.0,7.8543,"home! felt surprisingly fresh, despite all the travelling. leaving for hawaii tomorrow, going to take a real easy week, maybe 5-6 mi/day",spb,0,,,,summer04log.html
2004-08-02,2004,8,2,Monday,32,summer,run,51.8,51:48 wu/cd,6.0,8.6333,"Flew into HI around noon island time, explored Summer's neighborhood (Palolo Valley) in the afternoon. pretty hilly around here",,0,,,,summer04log.html
2004-08-03,2004,8,3,Tuesday,32,summer,run,57.33,57:20 wu/cd,7.0,8.19,"Hm, a lot of my running is going to end up being through town on the sidewalks, since i don't have a car, but oh well. Ran down towards the beach and back uphill to the house, about 30 min after dinner though :-(",sp,0,,,,summer04log.html
2004-08-05,2004,8,5,Thursday,32,summer,run,66.87,66:52 wu/cd,8.0,8.3588,"Guess I haven't really been taking it too easy this week. Legs were a bit tired from walking around so much, but Hawaii is awesome! We snorkeled with sea turtles!",spb,0,,,,summer04log.html
2004-08-06,2004,8,6,Friday,32,summer,long run,92.12,1:32:07 wu/cd,11.0,8.3745,"AHH... my lack of ride and my friends' lack of early morning motivation left beginning my run at promptly 12:30 pm, which, in the middle of the Pacific Ocean, means that it's just 85 deg. Only 30 min of the run we actually true hell though, and I got to run around the Diamond Head Crater and through the parks of Waikiki. All in all, it was not spectacular, but I got business done",,0,,,,summer04log.html
2004-08-07,2004,8,7,Saturday,32,summer,run,,? wu/cd,6.0,,"forgot my watch. did the diamond head run again, plus some more. probably ran for just under an hour. was hot and my legs were tired",sbp,0,,,,summer04log.html
2004-08-08,2004,8,8,Sunday,32,summer,run,55.5,55:30 wu/cd,7.0,7.9286,"woke up early to run before my flight home. got a bit of shade as I explored the Palolo valley one more time. Seemed to be always running uphill. my quads are burning now (nighttime) but now I'm back and can properly take care of myself. running on the roads all week didn't feel the greatest, but I'm ok",,0,,,,summer04log.html
2004-08-09,2004,8,9,Monday,33,summer,tempo,45.97,45:58 wu/cd,6.2,7.4145,"Went to the bike path and ran w/Dad for the first two miles, which, as expected were fast... Dad took the first one out in 7:50. Turned around and started my tempo, then turned around and doubled back to the first bridge from the beginning. The first two miles tempo were ~6:55, last one 6:40. Would have liked the first two to be down at 6:40 also, but I guess I started off fast. Hope I can shake this perpetually flat feeling when I start racing.",1 set sp,0,,,,summer04log.html
2004-08-09,2004,8,9,Monday,33,summer,run,29.8,29:48 wu/cd,3.5,8.5143,,,0,,,,summer04log.html
2004-08-10,2004,8,10,Tuesday,33,summer,long run,113.3,1:53:18 wu/cd,13.5,8.3926,"Felt totally fresh, which was really out of the blue. Remembered it was Tuesday so I drove down to the beach to run with the team. Went to Via de la Valle and back with them, then south to Guy Fleming to include a significant hill, then back north to Powerhouse park. Didn't really start slowing down or dogging it anywhere except up the park road. Yay",spb,0,,,,summer04log.html
2004-08-11,2004,8,11,Wednesday,33,summer,run,66.87,66:52,8.0,8.3588,"nothing like seeing a rattlesnake on your run to make you run a few minutes of tempo, heh. did the San Dieguito Lagoon run, plus some in the park. felt nice and snappy again. maybe it's the home cooking.",,0,,,,summer04log.html
2004-08-12,2004,8,12,Thursday,33,summer,run,30.73,30:44,3.75,8.1947,,,0,,,,summer04log.html
